#{"t_start": 1752008647.325863, "env_id": "None"}
r,l,t
-2.769309,1,861.992463
-2.744789,1,862.040756
-2.769437,1,862.10082
-2.684491,1,862.156821
-2.808378,1,862.214893
-2.592799,1,862.262617
-2.75477,1,862.31442
-2.714574,1,862.362372
-2.726465,1,862.415803
-2.787197,1,862.474976
-2.72238,1,862.520374
-2.862552,1,862.575806
-2.876828,1,862.628947
-2.842809,1,862.67788
-2.705759,1,862.734998
-2.734541,1,862.783848
-2.870398,1,862.835264
-2.863662,1,862.883259
-2.927066,1,862.940583
-2.752898,1,862.989497
-2.759497,1,863.038957
-2.591602,1,863.088789
-2.713611,1,863.144487
-2.843182,1,863.199251
-2.798634,1,863.249124
-2.813776,1,863.308542
-2.839175,1,863.356798
-2.674154,1,863.403337
-2.833826,1,863.47427
-2.708369,1,863.526052
-2.625474,1,863.571352
-2.558164,1,863.619068
-2.716508,1,863.677513
-2.703425,1,863.735105
-2.864957,1,863.782646
-2.869085,1,863.834577
-2.835312,1,863.880433
-2.826577,1,863.938729
-2.784303,1,863.999353
-2.762198,1,864.048948
-2.695583,1,864.098749
-2.708477,1,864.161567
-2.658621,1,864.222928
-2.808195,1,864.277543
-2.829732,1,864.324692
-2.808528,1,864.373638
-2.84059,1,864.435795
-2.647859,1,864.492372
-2.814143,1,864.541325
-2.850314,1,864.590346
-2.898189,1,864.654626
-2.714894,1,864.704356
-2.855595,1,864.749557
-2.629493,1,864.798917
-3.020548,1,864.859311
-2.718766,1,864.911187
-2.882017,1,864.962119
-2.753186,1,865.011061
-2.782014,1,865.077565
-2.85651,1,865.145623
-2.676847,1,865.192094
-2.720313,1,865.242791
-2.858205,1,865.306998
-2.710173,1,865.35821
-2.672532,1,865.406414
-2.897613,1,865.453448
-2.773385,1,865.538724
-2.670467,1,865.610253
-2.657978,1,865.693559
-2.864385,1,865.79302
-2.672191,1,865.870049
-2.792786,1,865.935428
-2.531268,1,865.999154
-2.58959,1,866.049339
-2.982787,1,866.12034
-2.745226,1,866.168441
-2.79061,1,866.217831
-2.834253,1,866.277241
-2.934566,1,866.329001
-2.810618,1,866.381577
-2.732283,1,866.443062
-2.906615,1,866.49209
-2.734547,1,866.543226
-2.906038,1,866.598916
-2.913694,1,866.659849
-2.741359,1,866.716827
-2.671409,1,866.767827
-2.738488,1,866.827467
-2.858174,1,866.875948
-2.90256,1,866.930391
-2.809494,1,867.003443
-2.660945,1,867.080337
-2.897489,1,867.138222
-2.729368,1,867.20785
-2.732468,1,867.27732
-2.885096,1,867.327345
-2.609483,1,867.380795
-2.754219,1,867.444402
-2.837861,1,867.506394
-2.780345,1,867.555671
-2.79779,1,867.609197
-2.727641,1,867.661276
-2.830304,1,867.71573
-2.630127,1,867.769076
-2.680957,1,867.81868
-2.748102,1,867.868181
-2.887166,1,867.931085
-2.781017,1,867.980556
-2.689595,1,868.033334
-2.979,1,868.081659
-2.726711,1,868.140555
-2.872365,1,868.195742
-2.799997,1,868.244795
-2.817181,1,868.297821
-2.718695,1,868.360009
-2.897477,1,868.419119
-2.824873,1,868.467697
-2.927567,1,868.520239
-2.848676,1,868.579564
-2.753082,1,868.641008
-2.809173,1,868.68222
-2.806835,1,868.736566
-2.724648,1,868.784935
-2.995121,1,868.840461
-2.815089,1,868.916389
-2.749524,1,868.97939
-2.827283,1,869.029726
-2.596456,1,869.110198
-2.73026,1,869.176598
-2.562235,1,869.247601
-2.799334,1,869.317963
-2.76237,1,869.393622
-2.698553,1,869.460389
-2.62751,1,869.532185
-2.773357,1,869.608264
-2.644571,1,869.669947
-2.836278,1,869.742905
-2.657528,1,869.790231
-2.872829,1,869.839727
-2.692437,1,869.88897
-2.637133,1,869.948815
-2.618458,1,870.004683
-2.655002,1,870.070591
-2.822858,1,870.152953
-2.732075,1,870.210347
-2.869361,1,870.259963
-2.75005,1,870.315387
-2.662719,1,870.359939
-2.704167,1,870.417123
-2.664194,1,870.471161
-2.796162,1,870.530248
-2.840228,1,870.579149
-2.849731,1,870.630306
-3.035293,1,870.69471
-2.864747,1,870.743528
-2.786471,1,870.791136
-2.650421,1,870.838266
-2.660383,1,870.898841
-2.938348,1,870.956737
-2.711783,1,871.006018
-2.811668,1,871.056994
-2.834059,1,871.114206
-2.659678,1,871.168169
-2.655506,1,871.231536
-2.842957,1,871.282383
-2.908963,1,871.336685
-2.632826,1,871.394938
-2.505867,1,871.44841
-2.80927,1,871.493462
-2.847688,1,871.542142
-2.748649,1,871.597916
-2.752264,1,871.652475
-2.968563,1,871.705069
-2.7268,1,871.753466
-2.687178,1,871.806871
-2.59546,1,871.866365
-2.837346,1,871.91517
-2.628818,1,871.964071
-2.637835,1,872.018155
-2.779228,1,872.08187
-2.633973,1,872.13138
-2.921056,1,872.179425
-2.774963,1,872.236528
-2.719928,1,872.292319
-2.917056,1,872.339836
-2.745861,1,872.387262
-2.85125,1,872.443271
-2.982946,1,872.501616
-2.690467,1,872.556287
-2.743643,1,872.610518
-2.777944,1,872.662429
-2.861515,1,872.720225
-2.651475,1,872.776147
-2.697406,1,872.825564
-2.838317,1,872.872467
-2.724319,1,872.928088
-2.538676,1,872.981344
-2.8535,1,873.042429
-2.704336,1,873.108637
-2.673557,1,873.1616
-2.717022,1,873.211344
-2.953311,1,873.259854
-2.904207,1,873.315361
-2.566838,1,873.367315
-2.790755,1,873.42267
-2.925609,1,873.473213
-2.635427,1,873.529747
-2.756596,1,873.584328
-2.476459,1,873.636147
-2.617991,1,873.689056
-2.823095,1,873.745201
-2.658183,1,873.795994
-2.884873,1,873.848084
-2.893648,1,873.90889
-2.621616,1,873.956563
-2.761251,1,874.009064
-2.684311,1,874.060572
-2.644156,1,874.126118
-2.826632,1,874.176956
-2.651503,1,874.230094
-2.774416,1,874.293167
-2.658924,1,874.345425
-2.754544,1,874.400572
-2.65223,1,874.45399
-2.82283,1,874.50471
-3.048812,1,874.558223
-2.87444,1,874.610405
-2.716436,1,874.66841
-2.872552,1,874.717512
-2.771516,1,874.778272
-2.737973,1,874.829876
-2.666302,1,874.877552
-2.804434,1,874.931703
-2.969106,1,874.985224
-2.670982,1,875.036188
-2.762171,1,875.091997
-2.731736,1,875.139969
-2.77894,1,875.195348
-2.702289,1,875.249446
-2.851778,1,875.30653
-2.7561,1,875.361097
-2.804514,1,875.41252
-2.710622,1,875.465067
-2.783157,1,875.517736
-3.043161,1,875.578545
-2.827462,1,875.629009
-2.734801,1,875.682924
-2.874377,1,875.738157
-2.655523,1,875.792795
-2.706685,1,875.842587
-2.638617,1,875.891042
-2.672709,1,875.950613
-2.86275,1,876.002444
-2.78192,1,876.049262
-2.818359,1,876.100052
-2.681315,1,876.166315
-2.824432,1,876.214072
-2.721915,1,876.264601
-2.936117,1,876.314068
-2.742818,1,876.378352
-2.688148,1,876.429884
-2.648873,1,876.477397
-2.654807,1,876.52909
-2.801635,1,876.599066
-2.582365,1,876.645355
-2.975311,1,876.699857
-2.920068,1,876.748909
-2.682819,1,876.807073
-2.776065,1,876.863108
-2.702731,1,876.910545
-2.734715,1,876.96506
-2.747748,1,877.016008
-2.633969,1,877.075173
-2.749284,1,877.123497
-2.788045,1,877.176231
-2.777718,1,877.234601
-2.80791,1,877.287863
-2.599978,1,877.339373
-2.786989,1,877.390777
-2.627777,1,877.45312
-2.6654,1,877.509542
-2.860248,1,877.561351
-2.753939,1,877.61924
-2.770044,1,877.676834
-2.7458,1,877.73255
-2.719508,1,877.782692
-2.745869,1,877.832687
-2.843036,1,877.886088
-2.690307,1,877.944179
-2.72609,1,878.003174
-2.939899,1,878.051708
-2.963497,1,878.105538
-2.8223,1,878.16406
-2.819708,1,878.21867
-2.796609,1,878.265825
-2.872209,1,878.315344
-2.773801,1,878.37607
-2.721106,1,878.428357
-2.700797,1,878.477877
-2.621912,1,878.532198
-3.062381,1,878.586452
-2.738494,1,878.640262
-2.849488,1,878.697434
-2.739082,1,878.746141
-2.879549,1,878.80671
-2.679885,1,878.864357
-2.661303,1,878.914388
-2.655592,1,878.963672
-2.769947,1,879.02047
-2.703247,1,879.085684
-2.674546,1,879.135223
-2.636555,1,879.190088
-2.793414,1,879.263397
-2.757475,1,879.332811
-2.748637,1,879.381816
-2.766355,1,879.433693
-2.781859,1,879.494132
-2.802601,1,879.544542
-2.732188,1,879.600241
-2.655248,1,879.661779
-2.788657,1,879.719419
-2.63844,1,879.76753
-2.851376,1,879.82392
-2.700598,1,879.877304
-2.919772,1,879.929173
-2.79586,1,879.98486
-2.751704,1,880.041779
-2.942678,1,880.094165
-2.790914,1,880.157887
-2.654275,1,880.205359
-2.813068,1,880.255794
-2.898922,1,880.308387
-2.744784,1,880.367238
-2.720911,1,880.420678
-2.73149,1,880.474056
-2.812228,1,880.523256
-2.744476,1,880.583374
-2.864717,1,880.63581
-2.834914,1,880.690634
-2.742216,1,880.744247
-2.615298,1,880.794913
-2.54209,1,880.847172
-2.46076,1,880.899076
-2.810626,1,880.947752
-2.764689,1,881.004727
-2.871618,1,881.058169
-2.746142,1,881.112242
-2.942333,1,881.172343
-2.58399,1,881.220765
-2.763349,1,881.270247
-2.85527,1,881.331089
-2.681597,1,881.380347
-2.771776,1,881.430906
-2.645878,1,881.483517
-2.768671,1,881.547827
-2.538692,1,881.593064
-2.585944,1,881.642072
-2.982421,1,881.697862
-2.666856,1,881.752468
-2.811028,1,881.80952
-2.854145,1,881.857909
-2.624933,1,881.915183
-2.67666,1,881.976295
-2.917796,1,882.026639
-2.663846,1,882.083354
-2.717623,1,882.134958
-2.641137,1,882.214391
-2.619052,1,882.26496
-2.870757,1,882.314079
-2.771097,1,882.380311
-2.73395,1,882.446809
-2.582091,1,882.497236
-2.940701,1,882.546887
-2.844023,1,882.602282
-2.760267,1,882.660223
-2.767385,1,882.707005
-2.650304,1,882.759342
-2.73352,1,882.810898
-2.90642,1,882.873293
-2.837956,1,882.923903
-2.717826,1,882.9682
-2.872717,1,883.029491
-2.690423,1,883.091791
-2.836687,1,883.142416
-2.653178,1,883.193329
-2.83352,1,883.243818
-2.689468,1,883.302129
-2.768544,1,883.375221
-2.75351,1,883.422756
-2.611162,1,883.471379
-2.898473,1,883.530706
-2.717047,1,883.598667
-2.712602,1,883.653817
-3.072026,1,883.695924
-2.806001,1,883.760739
-2.816262,1,883.813498
-2.784529,1,883.871931
-2.820636,1,883.923344
-2.676579,1,883.984462
-2.618399,1,884.035292
-2.772025,1,884.091199
-2.886091,1,884.142467
-2.895218,1,884.207201
-2.691272,1,884.25776
-2.807954,1,884.308976
-2.819029,1,884.360718
-2.894983,1,884.420255
-2.769336,1,884.474575
-2.773192,1,884.52405
-2.828907,1,884.583618
-2.820976,1,884.645247
-2.886252,1,884.703684
-2.660709,1,884.757047
-2.74785,1,884.808496
-2.724884,1,884.865318
-2.862571,1,884.913579
-2.751869,1,884.96816
-2.710519,1,885.023376
-2.531543,1,885.075444
-2.69709,1,885.133948
-2.87682,1,885.18537
-2.505668,1,885.246039
-2.740071,1,885.295847
-2.664869,1,885.348439
-2.634486,1,885.408583
-2.859274,1,885.462966
-2.869882,1,885.518589
-2.98801,1,885.567247
-2.68086,1,885.626987
-2.835992,1,885.674836
-2.799166,1,885.72929
-2.771316,1,885.780195
-2.934315,1,885.834867
