timestamp,open,high,low,close,volume,quote_volume
2022-12-21,251.47,251.51,245.41,246.21,758.0242,188267.072661
2022-12-22,246.61,248.14,240.46,245.78,638.47,155623.79683
2022-12-23,246.02,248.36,244.1,246.34,613.5385,150768.707044
2022-12-24,246.2,246.2,243.65,244.59,413.5348,101252.030971
2022-12-25,244.64,245.64,241.47,243.06,156.4148,38076.58673
2022-12-26,243.12,244.7,241.96,244.26,313.0965,76089.107434
2022-12-27,244.34,248.26,222.0,246.01,986.8472,240787.903876
2022-12-28,246.48,247.04,241.72,244.1,392.1329,95643.319104
2022-12-29,244.1,246.64,243.3,246.64,497.4341,122153.585197
2022-12-30,246.36,246.9,243.0,245.76,1188.9126,290359.863088
2022-12-31,245.48,247.79,243.31,246.04,434.4245,106910.601341
2023-01-01,246.06,246.49,238.84,244.17,357.9479,87493.252753
2023-01-02,244.2,247.53,240.76,245.38,532.6299,130490.851786
2023-01-03,245.22,246.69,244.51,245.95,228.3531,56077.900464
2023-01-04,245.83,262.36,245.51,259.17,886.7238,227075.504972
2023-01-05,258.11,258.88,255.22,256.4,496.4806,127868.503467
2023-01-06,256.4,260.43,254.46,259.96,2568.5761,663788.891094
2023-01-07,259.71,263.97,258.11,261.03,729.3425,190470.251815
2023-01-08,261.65,293.11,248.13,274.73,990.661,265047.98463
2023-01-09,274.78,283.19,263.61,272.55,937.1275,260975.253708
2023-01-10,273.37,278.55,270.03,277.12,354.9887,97831.023964
2023-01-11,277.19,286.62,274.25,284.47,879.1125,244393.652131
2023-01-12,284.62,288.18,278.11,287.98,708.7336,201190.530783
2023-01-13,287.96,295.56,284.95,293.71,572.5948,165672.168623
2023-01-14,293.29,314.13,293.29,305.16,1604.55375,490815.0988315
2023-01-15,305.1,305.98,292.15,301.49,874.5193,262724.60261
2023-01-16,302.39,308.0,293.43,299.19,1099.5074,330437.149611
2023-01-17,298.47,305.36,295.24,299.6,445.7616,134103.971747
2023-01-18,299.36,305.07,281.66,286.86,1390.3421,407487.004916
2023-01-19,286.45,296.0,286.12,294.69,879.3402,254416.386399
2023-01-20,294.12,305.08,287.0,305.08,1047.2981,311343.372776
2023-01-21,305.32,309.98,298.59,299.18,1581.5835,480764.515939
2023-01-22,298.77,311.22,298.69,302.73,1423.7992,433976.626356
2023-01-23,303.17,307.76,301.02,305.54,893.2274,272258.903391
2023-01-24,304.87,323.21,299.39,300.03,1291.9778,405497.47878
2023-01-25,299.84,313.53,293.7,306.71,1054.2526,318021.572588
2023-01-26,307.57,309.53,302.0,305.16,622.9329,190407.521955
2023-01-27,304.62,310.97,299.3,307.95,755.2754,231243.683137
2023-01-28,307.97,313.21,303.64,305.65,643.6237,197249.343302
2023-01-29,306.18,320.29,305.06,316.9,837.7251,264280.443579
2023-01-30,317.17,320.74,302.11,307.02,608.7095,188209.573976
2023-01-31,307.22,314.19,305.62,312.25,1119.6378,346390.770724
2023-02-01,312.15,319.26,305.64,317.22,691.2217,214819.25794
2023-02-02,317.53,334.27,316.5,322.88,1073.2692,350969.727658
2023-02-03,323.58,335.13,302.19,332.44,922.2403,301728.111852
2023-02-04,332.62,333.82,327.21,330.03,322.898,106727.76158
2023-02-05,330.24,337.71,300.0,328.06,852.6297,279597.409799
2023-02-06,327.89,331.33,320.95,324.5,707.8621,231273.560124
2023-02-07,324.09,333.59,324.09,333.2,448.1156,147353.197705
2023-02-08,332.8,335.0,323.95,327.79,396.7976,130769.40733
2023-02-09,328.03,329.14,301.92,305.37,1143.2191,359572.820854
2023-02-10,305.91,309.0,302.67,306.21,572.2703,175458.112252
2023-02-11,305.71,311.3,305.37,310.83,394.8389,121721.273115
2023-02-12,310.6,324.99,290.0,312.88,954.5379,297410.587282
2023-02-13,312.13,340.0,282.91,294.65,2598.3302,767287.501699
2023-02-14,294.49,301.01,290.15,296.26,2304.855,678176.956028
