step,timestamp,size,price,fee,slippage,impact,position,balance,portfolio_value
6288,2018-09-22 09:00:00,0.269,6696.424938015452,1.3510037312446175,0.15045301607231765,1.2844849993810032,1.1102230246251565e-16,8402.130038203224,8404.147481815204
6290,2018-09-22 11:00:00,0.191,6667.987580835726,0.9551892209547178,0.11440379306464556,1.0931770426616478,0.19100000000000011,7127.525541761249,8402.130038203224
6291,2018-09-22 12:00:00,1.029,6693.558663244721,5.165753898359114,0.6068139011179577,7.951849343603357,1.22,234.3435397908479,8404.360541761249
6292,2018-09-22 13:00:00,-0.598,6686.4736021316785,2.998883410556058,-0.34365603151134355,-5.692741836810419,0.622,4229.655944894332,8399.205739790848
6293,2018-09-22 14:00:00,-0.08600000000000001,6670.602417498039,0.4302538559286236,-0.04913698854199653,-0.9484455134189249,0.536,4802.868815352839,8379.391144894333
6294,2018-09-22 15:00:00,-0.107,6683.638395191307,0.5363619812141024,-0.05919823865699743,-1.5124065700363096,0.42900000000000005,5517.446004191681,8386.14137535284
6295,2018-09-22 16:00:00,-0.663,6660.859711395709,3.3121124914915168,-0.36796004998443177,-13.172328554305553,-0.23399999999999999,9930.063072856112,8380.763604191681
6296,2018-09-22 17:00:00,1.4020000000000001,6754.226989948711,7.102069679931071,0.7443614415276157,68.4826285071828,1.1680000000000001,452.89593436020004,8365.773072856111
6297,2018-09-22 18:00:00,-2.1310000000000002,6958.861063337438,11.121999694479063,-1.1285044670641335,218.00956780450298,-0.9630000000000001,15270.365393991506,8327.5285743602
6298,2018-09-22 19:00:00,1.931,4463.979875491285,6.464958854680255,1.1338079051419352,-2262.6939324138566,0.968,6643.487330868846,8793.670373991506
6299,2018-09-22 20:00:00,-0.272,6736.903291496487,1.3743282714652836,-0.15876167098725305,15.162053167475545,0.696,8474.45907599966,13150.286530868845
6300,2018-09-22 21:00:00,0.528,6693.297266858851,2.650545717676105,0.28808717621457014,-9.690820317363013,1.224,4937.570870332666,13139.538275999661
6301,2018-09-22 22:00:00,-1.162,6723.689964684982,5.859695804222962,-0.6247963539121478,15.144761038894169,0.062000000000000055,12744.248267105444,13149.594950332666
6302,2018-09-22 23:00:00,0.375,6719.135460524989,1.8897568482726534,0.19660720731292583,-4.111146682323673,0.43700000000000006,10222.556728770414,13161.077367105445
6303,2018-09-23 00:00:00,0.639,6711.267492061465,3.2163749455704576,0.337431641689052,-6.369939580223834,1.076,5930.626001401196,13158.016828770415
6304,2018-09-23 01:00:00,-0.195,6694.150659943168,0.9790195340166884,-0.10169515223285168,1.662355095400317,0.881,7234.9410925871625,13131.852841401196
6305,2018-09-23 02:00:00,-1.985,6714.573162870012,9.996320796222731,-1.0529175893638272,16.616080459375308,-1.104,20552.7060787015,13136.768902587162
6306,2018-09-23 03:00:00,2.852,6689.145039814304,14.308081240162796,1.512226994025883,-23.967187179721865,1.7479999999999998,1459.9601795542949,13143.0996787015
6307,2018-09-23 04:00:00,-2.168,6745.236760456102,10.967754972501623,-1.156649449300393,17.953409905402726,-0.4200000000000004,16071.93453758579,13221.273299554292
6309,2018-09-23 06:00:00,0.9500000000000001,6701.963927293221,4.77514929819642,0.36655990194081023,-5.952632608719532,0.5299999999999997,9699.943102925226,13254.74740618168
6310,2018-09-23 07:00:00,-2.257,6733.809426930223,11.398655907436135,-0.9029393417781993,13.312366272001613,-1.7270000000000003,24885.992413205473,13262.285102925223
6311,2018-09-23 08:00:00,1.0230000000000001,6727.971622644713,5.1620362274741565,0.38728536084284326,-5.725662716130915,-0.7040000000000002,17997.704898967328,13257.56604320547
6312,2018-09-23 09:00:00,-0.08700000000000001,6773.94674535933,0.4420000251346963,-0.032758102033961296,0.5095034613628688,-0.7910000000000001,18586.062729235764,13229.182018967327
6313,2018-09-23 10:00:00,-0.676,6771.605381839403,3.4332039285925777,-0.2785017598362485,4.38388359923897,-1.467,23159.975328987766,13232.970229235763
6314,2018-09-23 11:00:00,2.43,6731.959540802146,12.268996263111912,0.9689775889138648,-16.24943678676756,0.9630000000000001,6788.170218909725,13261.774248987766
6315,2018-09-23 12:00:00,-0.587,6742.722565574388,2.968483609494124,-0.2412578088548075,4.163823383242376,0.3760000000000001,10742.981982385096,13277.634618909726
6316,2018-09-23 13:00:00,-0.254,6735.989234900023,1.2832059492484544,-0.10389664752663531,2.0931315475494867,0.12200000000000011,12452.55449503717,13274.965982385096
